,0,1,2,3,4,5,6,7,8,9,10
249,270.55,81.0,,266.75,-3.6,2.05,0.0,0.08,273.05,-2.75,0.0
250,270.35,67.0,0.1,266.75,-3.6,2.02,0.02,0.09,269.75,0.55,0.0
251,271.45,78.0,,266.35,-0.4,2.1,0.14,0.01,272.65,1.2,0.0
252,269.95,80.0,13.0,266.35,-0.4,2.1,0.0,0.14,270.95,2.9,0.0
253,273.75,95.0,,270.35,3.6,2.12,0.04,0.18,272.95,-0.35,0.0
254,270.95,87.0,3.0,270.35,4.0,2.1,0.13,0.19,270.95,1.65,0.0
255,268.35,96.0,,,,2.22,0.0,0.31,273.05,,0.0
256,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
257,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
258,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
259,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
260,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
261,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
262,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
263,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
264,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
265,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
266,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
267,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
268,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
269,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
270,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
271,272.75,99.0,,270.35,0.0,2.5,0.5,0.8,271.85,-0.1,1.0
272,270.55,98.0,,270.35,,2.58,0.07,0.74,271.55,0.2,0.0
273,,19.0,0.0,,,3.0,0.0,0.0,271.25,,0.0
274,280.35,42.0,,,,3.0,0.0,0.0,272.05,,0.0
275,283.35,40.0,,,,0.6,0.0,0.0,272.85,,1.0
276,283.35,40.0,,,,0.6,0.0,0.0,272.85,,1.0
277,283.35,40.0,,,,0.6,0.0,0.0,272.85,,1.0
278,283.35,40.0,,,,0.6,0.0,0.0,272.85,,1.0
279,270.15,,,,,0.4,0.05,0.05,268.45,,0.0
280,276.95,,0.0,,,0.4,0.0,0.05,270.45,,0.0
281,277.35,,0.0,,,0.4,0.0,0.05,270.05,,0.0
282,270.55,78.0,,269.95,,0.55,0.25,0.3,272.95,0.7,0.0
283,277.35,34.0,0.0,269.95,,0.55,0.0,0.25,272.85,0.8,0.0
284,275.75,91.0,,,,0.48,0.01,0.26,272.85,,0.0
285,273.75,94.0,11.2,271.45,,0.7,0.04,0.05,272.75,0.7,0.0
286,274.65,97.0,20.1,272.85,,0.7,0.1,0.15,272.75,2.35,0.0
287,277.45,61.0,45.2,273.65,2.2,0.65,0.0,0.14,272.65,3.55,0.0
288,271.25,94.0,,,,0.7,0.01,0.15,272.85,,0.0
289,267.35,90.0,,,,0.85,,,268.35,,0.0
290,,,,,,,0.1,,,,0.0
291,268.45,96.0,,,,0.95,0.0,,267.55,,0.0
292,271.55,51.0,,269.05,,0.91,0.0,,262.95,9.2,0.0
293,271.05,85.0,,269.05,,0.95,0.04,,271.75,0.4,0.0
294,266.35,46.0,3.2,264.35,-4.7,0.95,0.04,0.18,261.95,6.8,0.0
295,274.15,62.0,0.0,266.35,-2.7,0.93,0.0,0.08,265.95,5.9,0.0
296,280.85,27.0,0.0,273.05,8.7,0.86,0.0,0.08,271.25,7.05,0.0
297,274.15,86.0,0.4,274.15,7.8,0.85,0.01,0.05,271.95,8.95,0.0
298,273.15,91.0,1.0,271.95,-1.1,0.85,0.02,0.03,272.55,4.45,0.0
299,276.85,43.0,0.9,271.85,-2.3,0.85,0.01,0.04,272.65,1.85,0.0
300,273.85,94.0,2.5,271.55,-0.4,0.88,0.03,0.07,272.65,4.4,0.0
301,272.25,80.0,4.0,267.55,-4.3,0.85,0.05,0.11,272.05,-0.5,0.0
302,268.95,97.0,,,,0.85,0.44,0.49,,,1.0
303,270.25,34.0,,,,1.3,0.0,0.44,264.05,,1.0
304,270.25,34.0,,,,1.3,0.0,0.44,264.05,,1.0
305,270.25,34.0,,,,1.3,0.0,0.44,264.05,,1.0
306,270.25,34.0,,,,1.3,0.0,0.44,264.05,,1.0
307,270.25,34.0,,,,1.3,0.0,0.44,264.05,,1.0
308,270.25,34.0,,,,1.3,0.0,0.44,264.05,,1.0
309,275.95,90.0,,,,1.25,0.0,0.44,272.95,,0.0
310,271.35,97.0,,270.15,,1.26,0.2,0.64,270.55,2.4,0.0
311,275.75,80.0,6.0,270.15,,1.35,0.1,0.3,271.85,1.1,0.0
312,,,31.0,,,1.68,0.47,0.77,,,0.0
313,271.15,79.0,,267.75,-2.4,1.68,0.0,0.77,272.85,-2.4,0.0
314,270.65,85.0,7.0,267.75,-2.4,1.7,0.1,0.67,269.95,0.5,0.0
315,270.25,68.0,,,,1.95,,,271.25,,0.0
316,270.45,94.0,0.0,,,1.93,,,267.65,,0.0
317,271.15,67.0,,,,0.6,0.06,0.11,269.65,,0.0
318,276.15,67.0,,274.15,,0.0,0.0,0.11,,,0.0
319,281.15,99.0,6.0,274.15,,0.0,0.0,0.0,,,0.0
320,280.25,70.0,18.0,277.75,,0.37,0.0,0.0,273.05,5.95,0.0
321,,,16.8,,,0.1,0.1,0.1,271.45,,0.0
322,274.15,,,270.15,-7.6,0.1,0.0,0.1,273.05,-0.4,0.0
323,275.15,92.0,0.0,270.15,-7.6,0.1,0.0,0.1,272.15,0.5,0.0
324,279.15,59.0,,,,0.03,0.0,0.1,272.25,,0.0
325,278.15,50.0,,,,0.0,0.0,0.1,,,0.0
326,280.15,68.0,,274.15,4.0,0.0,0.0,0.0,,,0.0
327,277.65,77.0,4.0,274.15,,0.0,0.0,0.0,,,0.0
328,282.15,99.0,,,,0.0,0.0,0.0,,,0.0
329,277.15,92.0,5.0,,,0.0,0.0,0.0,,,0.0
330,276.15,80.0,,,,0.0,0.0,0.0,,,0.0
331,273.65,100.0,6.9,,,0.01,0.02,0.01,,,0.0
332,272.15,99.0,,265.15,,0.02,0.0,0.02,,,0.0
333,265.15,99.0,15.9,265.15,,0.14,0.15,0.15,269.65,,0.0
334,264.15,99.0,,261.15,,0.15,0.0,0.17,269.15,,0.0
335,261.15,55.0,6.4,261.15,-4.0,0.2,0.07,0.24,262.75,,0.0
336,263.15,35.0,,,,0.2,0.0,0.23,263.55,,0.0
337,270.15,18.0,0.0,,,0.25,0.0,0.22,271.45,,0.0
338,273.15,20.0,,,,0.25,0.0,0.09,272.05,,0.0
339,282.15,18.0,,,,0.18,0.0,0.07,272.55,,0.0
340,278.15,10.0,0.0,,,0.2,0.0,0.0,272.45,,0.0
341,277.15,90.0,0.0,,,0.15,0.0,0.0,272.55,,0.0
342,278.15,76.0,,,,0.15,0.0,0.0,273.05,,0.0
343,279.15,79.0,0.1,,,0.15,0.0,0.0,273.05,,0.0
344,281.15,70.0,,,,0.13,0.0,0.0,272.95,,0.0
345,278.15,80.0,0.0,,,0.1,0.0,0.0,273.05,,0.0
